image_id,pdf_id,file_name,image_type,related_step,remarks
030_01,osaka_030,worksheet_01_030.png,worksheet,,第3時教材
030_02,osaka_030,worksheet_02_030.png,worksheet,,第3時教材
030_03,osaka_030,worksheet_03_030.png,worksheet,3,ヒストグラム作成
030_04,osaka_030,worksheet_04_030.png,worksheet,4,度数折線作成
030_05,osaka_030,worksheet_05_030.png,worksheet,5,考察・結論
030_06,osaka_030,board_plan_030.png,board_plan,all,板書計画
033_01,osaka_033,teaching_material_01_033.png,teaching_material,1,本時の提示モニター（課題提示）
033_02,osaka_033,worksheet_01_033.png,worksheet,3,恵庭岳と桜島の火山灰を比較して考察するワークシート
033_03,osaka_033,student_response_example_01_033.png,student_response_example,3,想定される子どもの記述
041_01,osaka_041,worksheet_01_041.png,worksheet,2,平行線を利用した説明活動用ワークシート
041_02,osaka_041,student_response_example_01_041.png,student_response_example,4,想定される子どもの記述例
042_01,osaka_042,board_plan_042.png,board_plan,all,本時の板書計画
042_02,osaka_042,worksheet_01_042.png,worksheet,2,材料集め活動用ワークシート
042_03,osaka_042,worksheet_02_042.png,worksheet,8,振り返り問題用ワークシート
050_01,osaka_050,teaching_material_01_050.png,teaching_material,1,課題提示資料
050_02,osaka_050,teaching_material_02_050.png,teaching_material,2,活動用提示資料
050_03,osaka_050,teaching_material_03_050.png,teaching_material,3,考察整理用提示資料
050_04,osaka_050,student_response_example_01_050.png,student_response_example,3,想定される子どもの記述例
050_05,osaka_050,student_response_example_02_050.png,student_response_example,3,想定される子どもの記述例
051_01,osaka_051,worksheet_01_051.png,worksheet,13,第13時で使用したワークシート
051_02,osaka_051,worksheet_02_051.png,worksheet,1,前時の振り返りおよび本時課題確認
